"","id","Name","Name_english","Height","Weight","HP","Attack","Defense","SpAttack","SpDefense","Speed","Total","capture_rate","base_happiness","Type","Type1","Type2","habitat","color","shape","growth_rate","gender_rate","has_gender_differences","is_baby","forms_switchable","LastEvolution","evolves_from_species_id","evolution_chain_id","generation_id","hatch_counter","conquest_order"
"Kranidos",408,"Kranidos","cranidos",0.89,31.5,67,125,40,30,30,58,350,45,70,"Rock","Rock",NA,NA,"blue","upright","slow-then-very-fast","1","0","0","0",FALSE,NA,211,"4",30,NA
"Charkos",409,"Charkos","rampardos",1.6,102.5,97,165,60,65,50,58,495,45,70,"Rock","Rock",NA,NA,"blue","upright","slow-then-very-fast","1","0","0","0",TRUE,408,211,"4",30,NA
"Dinoclier",410,"Dinoclier","shieldon",0.51,57,30,42,118,42,88,30,350,45,70,"Rock~Steel","Rock","Steel",NA,"gray","quadruped","slow-then-very-fast","1","0","0","0",FALSE,NA,212,"4",30,163
"Bastiodon",411,"Bastiodon","bastiodon",1.3,149.5,60,52,168,47,138,30,495,45,70,"Rock~Steel","Rock","Steel",NA,"gray","quadruped","slow-then-very-fast","1","0","0","0",TRUE,410,212,"4",30,164
"Cheniti",412,"Cheniti","burmy",0.2,3.4,40,29,45,29,45,36,224,120,70,"Bug","Bug",NA,NA,"gray","squiggle","medium","4","0","0","1",FALSE,NA,213,"4",15,NA
"Cheniselle(Cape Plante)",413,"Cheniselle(Cape Plante)","wormadam",0.51,6.5,60,59,85,79,105,36,424,45,70,"Bug~Grass","Bug","Grass",NA,"gray","squiggle","medium","8","0","0","0",TRUE,412,213,"4",15,NA
"Papilord",414,"Papilord","mothim",0.89,23.3,70,94,50,94,50,66,424,45,70,"Bug~Flying","Bug","Flying",NA,"yellow","bug-wings","medium","0","0","0","0",TRUE,412,213,"4",15,NA
"Apitrini",415,"Apitrini","combee",0.3,5.5,30,30,42,30,42,70,244,120,70,"Bug~Flying","Bug","Flying",NA,"yellow","heads","medium-slow","1","1","0","0",FALSE,NA,214,"4",15,NA
"Apireine",416,"Apireine","vespiquen",1.19,38.5,70,80,102,80,102,40,474,45,70,"Bug~Flying","Bug","Flying",NA,"yellow","wings","medium-slow","8","0","0","0",TRUE,415,214,"4",15,NA
"Pachirisu",417,"Pachirisu","pachirisu",0.41,3.9,60,45,70,45,90,95,405,200,100,"Electric","Electric",NA,NA,"white","quadruped","medium","4","1","0","0",TRUE,NA,215,"4",10,NA
"Mustébouée",418,"Mustébouée","buizel",0.71,29.5,55,65,35,60,30,85,330,190,70,"Water","Water",NA,NA,"brown","quadruped","medium","4","1","0","0",FALSE,NA,216,"4",20,NA
"Mustéflott",419,"Mustéflott","floatzel",1.09,33.5,85,105,55,85,50,115,495,75,70,"Water","Water",NA,NA,"brown","quadruped","medium","4","1","0","0",TRUE,418,216,"4",20,NA
"Ceribou",420,"Ceribou","cherubi",0.41,3.3,45,35,45,62,53,35,275,190,70,"Grass","Grass",NA,NA,"pink","heads","medium","4","0","0","0",FALSE,NA,217,"4",20,NA
"Ceriflor",421,"Ceriflor","cherrim",0.51,9.3,70,60,70,87,78,85,450,75,70,"Grass","Grass",NA,NA,"pink","legs","medium","4","0","0","1",TRUE,420,217,"4",20,NA
"Sancoki",422,"Sancoki","shellos",0.3,6.3,76,48,48,57,62,34,325,190,70,"Water","Water",NA,NA,"purple","armor","medium","4","0","0","0",FALSE,NA,218,"4",20,NA
"Tritosor",423,"Tritosor","gastrodon",0.89,29.9,111,83,68,92,82,39,475,75,70,"Water~Ground","Water","Ground",NA,"purple","armor","medium","4","0","0","0",TRUE,422,218,"4",20,NA
"Capidextre",424,"Capidextre","ambipom",1.19,20.3,75,100,66,60,66,115,482,45,100,"Normal","Normal",NA,NA,"purple","upright","fast","4","1","0","0",TRUE,190,93,"4",20,NA
"Baudrive",425,"Baudrive","drifloon",0.41,1.2,90,50,34,60,44,70,348,125,70,"Ghost~Flying","Ghost","Flying",NA,"purple","arms","fast-then-very-slow","4","0","0","0",FALSE,NA,219,"4",30,167
"Grodrive",426,"Grodrive","drifblim",1.19,15,150,80,44,90,54,80,498,60,70,"Ghost~Flying","Ghost","Flying",NA,"purple","arms","fast-then-very-slow","4","0","0","0",TRUE,425,219,"4",30,168
"Laporeille",427,"Laporeille","buneary",0.41,5.5,55,66,44,44,56,85,350,190,0,"Normal","Normal",NA,NA,"brown","upright","medium","4","0","0","0",FALSE,NA,220,"4",20,NA
"Lockpin",428,"Lockpin","lopunny",1.19,33.3,65,76,84,54,96,105,480,60,140,"Normal","Normal",NA,NA,"brown","upright","medium","4","0","0","0",TRUE,427,220,"4",20,NA
"Magirêve",429,"Magirêve","mismagius",0.89,4.4,60,60,60,105,105,105,495,45,35,"Ghost","Ghost",NA,NA,"purple","ball","fast","4","0","0","0",TRUE,200,98,"4",25,184
"Corboss",430,"Corboss","honchkrow",0.89,27.3,100,125,52,105,52,71,505,30,35,"Dark~Flying","Dark","Flying",NA,"black","wings","medium-slow","4","0","0","0",TRUE,198,97,"4",20,NA
"Chaglam",431,"Chaglam","glameow",0.51,3.9,49,55,42,42,37,85,310,190,70,"Normal","Normal",NA,NA,"gray","quadruped","fast","6","0","0","0",FALSE,NA,221,"4",20,NA
"Chaffreux",432,"Chaffreux","purugly",0.99,43.8,71,82,64,64,59,112,452,75,70,"Normal","Normal",NA,NA,"gray","quadruped","fast","6","0","0","0",TRUE,431,221,"4",20,NA
"Korillon",433,"Korillon","chingling",0.2,0.6,45,30,50,65,50,45,285,120,70,"Psychic","Psychic",NA,NA,"yellow","humanoid","fast","4","0","1","0",FALSE,NA,184,"4",25,52
"Moufouette",434,"Moufouette","stunky",0.41,19.2,63,63,47,41,41,74,329,225,70,"Poison~Dark","Poison","Dark",NA,"purple","quadruped","medium","4","0","0","0",FALSE,NA,223,"4",20,NA
"Moufflair",435,"Moufflair","skuntank",0.99,38,103,93,67,71,61,84,479,60,70,"Poison~Dark","Poison","Dark",NA,"purple","quadruped","medium","4","0","0","0",TRUE,434,223,"4",20,NA
"Archéomire",436,"Archéomire","bronzor",0.51,60.5,57,24,86,24,86,23,300,255,70,"Steel~Psychic","Steel","Psychic",NA,"green","ball","medium","-1","0","0","0",FALSE,NA,224,"4",20,NA
"Archéodong",437,"Archéodong","bronzong",1.3,187,67,89,116,79,116,33,500,90,70,"Steel~Psychic","Steel","Psychic",NA,"green","arms","medium","-1","0","0","0",TRUE,436,224,"4",20,NA
"Manzaï",438,"Manzaï","bonsly",0.51,15,50,80,95,10,45,10,290,255,70,"Rock","Rock",NA,NA,"brown","legs","medium","4","0","1","0",FALSE,NA,91,"4",20,NA
"Mime Jr",439,"Mime Jr","mime-jr",0.61,13,20,25,45,70,90,60,310,145,70,"Psychic~Fairy","Psychic","Fairy",NA,"pink","humanoid","medium","4","0","1","0",FALSE,NA,57,"4",25,NA
"Ptiravi",440,"Ptiravi","happiny",0.61,24.4,100,5,5,15,65,30,220,130,140,"Normal","Normal",NA,NA,"pink","humanoid","fast","8","0","1","0",FALSE,NA,51,"4",40,NA
"Pijako",441,"Pijako","chatot",0.51,1.9,76,65,45,92,42,91,411,30,35,"Normal~Flying","Normal","Flying",NA,"black","wings","medium-slow","4","0","0","0",TRUE,NA,228,"4",20,NA
"Spiritomb",442,"Spiritomb","spiritomb",0.99,108,50,92,108,92,108,35,485,100,70,"Ghost~Dark","Ghost","Dark",NA,"purple","blob","medium","4","0","0","0",TRUE,NA,229,"4",30,187
"Griknot",443,"Griknot","gible",0.71,20.5,58,70,45,40,45,42,300,45,70,"Dragon~Ground","Dragon","Ground",NA,"blue","upright","slow","4","1","0","0",FALSE,NA,230,"4",40,85
"Carmache",444,"Carmache","gabite",1.4,56,68,90,65,50,55,82,410,45,70,"Dragon~Ground","Dragon","Ground",NA,"blue","upright","slow","4","1","0","0",FALSE,443,230,"4",40,86
"Carchacrok",445,"Carchacrok","garchomp",1.91,95,108,130,95,80,85,102,600,45,70,"Dragon~Ground","Dragon","Ground",NA,"blue","upright","slow","4","1","0","0",TRUE,444,230,"4",40,87
"Goinfrex",446,"Goinfrex","munchlax",0.61,105,135,85,40,40,85,5,390,50,70,"Normal","Normal",NA,NA,"black","humanoid","slow","1","0","1","0",FALSE,NA,72,"4",40,178
"Riolu",447,"Riolu","riolu",0.71,20.2,40,70,40,35,40,60,285,75,70,"Fighting","Fighting",NA,NA,"blue","upright","medium-slow","1","0","1","0",FALSE,NA,232,"4",25,50
"Lucario",448,"Lucario","lucario",1.19,54,70,110,70,115,70,90,525,45,70,"Fighting~Steel","Fighting","Steel",NA,"blue","upright","medium-slow","1","0","0","0",TRUE,447,232,"4",25,51
"Hippopotas",449,"Hippopotas","hippopotas",0.79,49.5,68,72,78,38,42,32,330,140,70,"Ground","Ground",NA,NA,"brown","quadruped","slow","4","1","0","0",FALSE,NA,233,"4",30,NA
"Hippodocus",450,"Hippodocus","hippowdon",2.01,300,108,112,118,68,72,47,525,60,70,"Ground","Ground",NA,NA,"brown","quadruped","slow","4","1","0","0",TRUE,449,233,"4",30,NA
"Rapion",451,"Rapion","skorupi",0.79,12,40,50,90,30,55,65,330,120,70,"Poison~Bug","Poison","Bug",NA,"purple","armor","slow","4","0","0","0",FALSE,NA,234,"4",20,156
"Drascore",452,"Drascore","drapion",1.3,61.5,70,90,110,60,75,95,500,45,70,"Poison~Dark","Poison","Dark",NA,"purple","armor","slow","4","0","0","0",TRUE,451,234,"4",20,157
"Cradopaud",453,"Cradopaud","croagunk",0.71,23,48,61,40,61,40,50,300,140,100,"Poison~Fighting","Poison","Fighting",NA,"blue","humanoid","medium","4","1","0","0",FALSE,NA,235,"4",10,88
"Coatox",454,"Coatox","toxicroak",1.3,44.4,83,106,65,86,65,85,490,75,70,"Poison~Fighting","Poison","Fighting",NA,"blue","humanoid","medium","4","1","0","0",TRUE,453,235,"4",20,89
"Vortente",455,"Vortente","carnivine",1.4,27,74,100,72,90,72,46,454,200,70,"Grass","Grass",NA,NA,"green","tentacles","slow","4","0","0","0",TRUE,NA,236,"4",25,186
"Écayon",456,"Écayon","finneon",0.41,7,49,49,56,49,61,66,330,190,70,"Water","Water",NA,NA,"blue","fish","slow-then-very-fast","4","1","0","0",FALSE,NA,237,"4",20,NA
"Luminéon",457,"Luminéon","lumineon",1.19,24,69,69,76,69,86,91,460,75,70,"Water","Water",NA,NA,"blue","fish","slow-then-very-fast","4","1","0","0",TRUE,456,237,"4",20,NA
"Babimanta",458,"Babimanta","mantyke",0.99,65,45,20,50,60,120,50,345,25,70,"Water~Flying","Water","Flying",NA,"blue","wings","slow","4","0","1","0",FALSE,NA,116,"4",25,NA
"Blizzi",459,"Blizzi","snover",0.99,50.5,60,62,50,62,60,40,334,120,70,"Grass~Ice","Grass","Ice",NA,"white","upright","slow","4","1","0","0",FALSE,NA,239,"4",20,NA
"Blizzaroi",460,"Blizzaroi","abomasnow",2.21,135.5,90,92,75,92,85,60,494,60,70,"Grass~Ice","Grass","Ice",NA,"white","upright","slow","4","1","0","0",TRUE,459,239,"4",20,NA
"Dimoret",461,"Dimoret","weavile",1.09,34,70,120,65,45,85,125,510,45,35,"Dark~Ice","Dark","Ice",NA,"black","upright","medium-slow","4","1","0","0",TRUE,215,109,"4",20,182
"Magnézone",462,"Magnézone","magnezone",1.19,180,70,70,115,130,90,60,535,30,70,"Electric~Steel","Electric","Steel",NA,"gray","arms","medium","-1","0","0","0",TRUE,82,34,"4",20,NA
"Coudlangue",463,"Coudlangue","lickilicky",1.7,140,110,85,95,80,95,50,515,30,70,"Normal","Normal",NA,NA,"pink","humanoid","medium","4","0","0","0",TRUE,108,48,"4",20,NA
"Rhinastoc",464,"Rhinastoc","rhyperior",2.39,282.8,115,140,130,55,55,40,535,30,70,"Ground~Rock","Ground","Rock",NA,"gray","upright","slow","4","1","0","0",TRUE,112,50,"4",20,162
"Bouldeneu",465,"Bouldeneu","tangrowth",2.01,128.6,100,100,125,110,50,50,535,30,70,"Grass","Grass",NA,NA,"blue","humanoid","medium","4","1","0","0",TRUE,114,52,"4",20,NA
"Élekable",466,"Élekable","electivire",1.8,138.6,75,123,67,95,85,95,540,30,70,"Electric","Electric",NA,NA,"yellow","upright","medium","2","0","0","0",TRUE,125,60,"4",25,NA
"Maganon",467,"Maganon","magmortar",1.6,68,75,95,67,125,95,83,540,30,70,"Fire","Fire",NA,NA,"red","upright","medium","2","0","0","0",TRUE,126,61,"4",25,NA
"Togekiss",468,"Togekiss","togekiss",1.5,38,85,50,95,120,115,80,545,30,70,"Fairy~Flying","Fairy","Flying",NA,"white","wings","fast","1","0","0","0",TRUE,176,87,"4",10,NA
"Yanméga",469,"Yanméga","yanmega",1.91,51.5,86,76,86,116,56,95,515,30,70,"Bug~Flying","Bug","Flying",NA,"green","bug-wings","medium","4","0","0","0",TRUE,193,95,"4",20,NA
"Phyllali",470,"Phyllali","leafeon",0.99,25.5,65,110,130,60,65,95,525,45,35,"Grass","Grass",NA,NA,"green","quadruped","medium","1","0","0","0",TRUE,133,67,"4",35,7
"Givrali",471,"Givrali","glaceon",0.79,25.9,65,60,110,130,95,65,525,45,35,"Ice","Ice",NA,NA,"blue","quadruped","medium","1","0","0","0",TRUE,133,67,"4",35,8
"Scorvol",472,"Scorvol","gliscor",2.01,42.5,75,95,125,45,75,95,510,30,70,"Ground~Flying","Ground","Flying",NA,"purple","wings","medium-slow","4","0","0","0",TRUE,207,104,"4",20,NA
"Mammochon",473,"Mammochon","mamoswine",2.49,291,110,130,80,70,60,80,530,50,70,"Ice~Ground","Ice","Ground",NA,"brown","quadruped","slow","4","1","0","0",TRUE,221,112,"4",20,NA
"Porygon-Z",474,"Porygon-Z","porygon-z",0.89,34,85,80,70,135,75,90,535,30,70,"Normal","Normal",NA,NA,"red","arms","medium","-1","0","0","0",TRUE,233,68,"4",20,NA
"Gallame",475,"Gallame","gallade",1.6,52,68,125,65,65,115,80,518,45,35,"Psychic~Fighting","Psychic","Fighting",NA,"white","humanoid","slow","0","0","0","0",TRUE,281,140,"4",20,12
"Tarinorme",476,"Tarinorme","probopass",1.4,340,60,55,145,75,150,40,525,60,70,"Rock~Steel","Rock","Steel",NA,"gray","heads","medium","4","0","0","0",TRUE,299,147,"4",20,NA
"Noctunoir",477,"Noctunoir","dusknoir",2.21,106.6,45,100,135,65,135,45,525,45,35,"Ghost","Ghost",NA,NA,"black","arms","fast","4","0","0","0",TRUE,356,182,"4",25,71
"Momartik",478,"Momartik","froslass",1.3,26.6,70,80,70,80,70,110,480,75,70,"Ice~Ghost","Ice","Ghost",NA,"white","arms","medium","8","0","0","0",TRUE,361,186,"4",20,95
"Motisma(Forme Normale)",479,"Motisma(Forme Normale)","rotom",0.3,0.3,50,50,77,95,77,91,440,45,70,"Electric~Ghost","Electric","Ghost",NA,"red","ball","medium","-1","0","0","1",TRUE,NA,240,"4",20,NA
"Créhelf",480,"Créhelf","uxie",0.3,0.3,75,75,130,75,130,95,580,3,140,"Psychic","Psychic",NA,NA,"yellow","upright","slow","-1","0","0","0",TRUE,NA,241,"4",80,NA
"Créfollet",481,"Créfollet","mesprit",0.3,0.3,80,105,105,105,105,80,580,3,140,"Psychic","Psychic",NA,NA,"pink","upright","slow","-1","0","0","0",TRUE,NA,242,"4",80,NA
"Créfadet",482,"Créfadet","azelf",0.3,0.3,75,125,70,125,70,115,580,3,140,"Psychic","Psychic",NA,NA,"blue","upright","slow","-1","0","0","0",TRUE,NA,243,"4",80,NA
"Dialga",483,"Dialga","dialga",5.41,683,100,120,120,150,100,90,680,30,0,"Steel~Dragon","Steel","Dragon",NA,"white","quadruped","slow","-1","0","0","0",TRUE,NA,244,"4",120,195
"Palkia",484,"Palkia","palkia",4.19,336,90,120,100,150,120,100,680,30,0,"Water~Dragon","Water","Dragon",NA,"purple","upright","slow","-1","0","0","0",TRUE,NA,245,"4",120,NA
"Heatran",485,"Heatran","heatran",1.7,430,91,90,106,130,106,77,600,3,100,"Fire~Steel","Fire","Steel",NA,"brown","quadruped","slow","4","0","0","0",TRUE,NA,246,"4",10,NA
"Regigigas",486,"Regigigas","regigigas",3.71,420,110,160,110,80,110,100,670,3,0,"Normal","Normal",NA,NA,"white","humanoid","slow","-1","0","0","0",TRUE,NA,247,"4",120,NA
"Giratina(Forme Alternative)",487,"Giratina(Forme Alternative)","giratina",4.5,750,150,100,120,100,120,90,680,3,0,"Ghost~Dragon","Ghost","Dragon",NA,"black","tentacles","slow","-1","0","0","1",TRUE,NA,248,"4",120,NA
"Cresselia",488,"Cresselia","cresselia",1.5,85.6,120,70,120,75,130,85,600,3,100,"Psychic","Psychic",NA,NA,"yellow","armor","slow","8","0","0","0",TRUE,NA,249,"4",120,NA
"Phione",489,"Phione","phione",0.41,3.1,80,80,80,80,80,80,480,30,70,"Water","Water",NA,NA,"blue","arms","slow","-1","0","0","0",TRUE,NA,250,"4",40,NA
"Manaphy",490,"Manaphy","manaphy",0.3,1.4,100,100,100,100,100,100,600,3,70,"Water","Water",NA,NA,"blue","humanoid","slow","-1","0","0","0",TRUE,NA,250,"4",10,NA
"Darkrai",491,"Darkrai","darkrai",1.5,50.5,70,90,90,135,90,125,600,3,0,"Dark","Dark",NA,NA,"black","humanoid","slow","-1","0","0","0",TRUE,NA,252,"4",120,NA
"Shaymin(Forme Terrestre)",492,"Shaymin(Forme Terrestre)","shaymin",0.2,2.1,100,100,100,100,100,100,600,45,100,"Grass","Grass",NA,NA,"green","quadruped","medium-slow","-1","0","0","1",TRUE,NA,253,"4",120,NA
"Arceus",493,"Arceus","arceus",3.2,320,120,120,120,120,120,120,720,3,0,"Normal","Normal",NA,NA,"gray","quadruped","slow","-1","0","0","1",TRUE,NA,254,"4",120,199
"Victini",494,"Victini","victini",0.41,4,100,100,100,100,100,100,600,3,100,"Psychic~Fire","Psychic","Fire",NA,"yellow","humanoid","slow","-1","0","0","0",TRUE,NA,255,"5",120,NA
"Vipélierre",495,"Vipélierre","snivy",0.61,8.1,45,45,55,45,55,63,308,45,70,"Grass","Grass",NA,NA,"green","upright","medium-slow","1","0","0","0",FALSE,NA,256,"5",20,118
"Lianaja",496,"Lianaja","servine",0.79,16,60,60,75,60,75,83,413,45,70,"Grass","Grass",NA,NA,"green","upright","medium-slow","1","0","0","0",FALSE,495,256,"5",20,119
"Majaspic",497,"Majaspic","serperior",3.3,63,75,75,95,75,95,113,528,45,70,"Grass","Grass",NA,NA,"green","squiggle","medium-slow","1","0","0","0",TRUE,496,256,"5",20,120
"Gruikui",498,"Gruikui","tepig",0.51,9.9,65,63,45,45,45,45,308,45,70,"Fire","Fire",NA,NA,"red","quadruped","medium-slow","1","0","0","0",FALSE,NA,257,"5",20,121
"Grotichon",499,"Grotichon","pignite",0.99,55.5,90,93,55,70,55,55,418,45,70,"Fire~Fighting","Fire","Fighting",NA,"red","upright","medium-slow","1","0","0","0",FALSE,498,257,"5",20,122
"Roitiflam",500,"Roitiflam","emboar",1.6,150,110,123,65,100,65,65,528,45,70,"Fire~Fighting","Fire","Fighting",NA,"red","upright","medium-slow","1","0","0","0",TRUE,499,257,"5",20,123
"Moustillon",501,"Moustillon","oshawott",0.51,5.9,55,55,45,63,45,45,308,45,70,"Water","Water",NA,NA,"blue","upright","medium-slow","1","0","0","0",FALSE,NA,258,"5",20,106
"Mateloutre",502,"Mateloutre","dewott",0.79,24.5,75,75,60,83,60,60,413,45,70,"Water","Water",NA,NA,"blue","upright","medium-slow","1","0","0","0",FALSE,501,258,"5",20,107
"Clamiral",503,"Clamiral","samurott",1.5,94.6,95,100,85,108,70,70,528,45,70,"Water","Water",NA,NA,"blue","quadruped","medium-slow","1","0","0","0",TRUE,502,258,"5",20,108
"Ratentif",504,"Ratentif","patrat",0.51,11.6,45,55,39,35,39,42,255,255,70,"Normal","Normal",NA,NA,"brown","quadruped","medium","4","0","0","0",FALSE,NA,259,"5",15,NA
"Miradar",505,"Miradar","watchog",1.09,27,60,85,69,60,69,77,420,255,70,"Normal","Normal",NA,NA,"brown","upright","medium","4","0","0","0",TRUE,504,259,"5",20,NA
"Ponchiot",506,"Ponchiot","lillipup",0.41,4.1,45,60,45,25,45,55,275,255,70,"Normal","Normal",NA,NA,"brown","quadruped","medium-slow","4","0","0","0",FALSE,NA,260,"5",15,NA
"Ponchien",507,"Ponchien","herdier",0.89,14.7,65,80,65,35,65,60,370,120,70,"Normal","Normal",NA,NA,"gray","quadruped","medium-slow","4","0","0","0",FALSE,506,260,"5",15,NA
"Mastouffe",508,"Mastouffe","stoutland",1.19,61,85,100,90,45,90,80,490,45,70,"Normal","Normal",NA,NA,"gray","quadruped","medium-slow","4","0","0","0",TRUE,507,260,"5",15,NA
"Chacripan",509,"Chacripan","purrloin",0.41,10.1,41,50,37,50,37,66,281,255,70,"Dark","Dark",NA,NA,"purple","quadruped","medium","4","0","0","0",FALSE,NA,261,"5",20,NA
"Léopardus",510,"Léopardus","liepard",1.09,37.5,64,88,50,88,50,106,446,90,70,"Dark","Dark",NA,NA,"purple","quadruped","medium","4","0","0","0",TRUE,509,261,"5",20,NA
"Feuillajou",511,"Feuillajou","pansage",0.61,10.5,50,53,48,53,48,64,316,190,70,"Grass","Grass",NA,NA,"green","upright","medium","1","0","0","0",FALSE,NA,262,"5",20,136
"Feuiloutan",512,"Feuiloutan","simisage",1.09,30.5,75,98,63,98,63,101,498,75,70,"Grass","Grass",NA,NA,"green","upright","medium","1","0","0","0",TRUE,511,262,"5",20,137
"Flamajou",513,"Flamajou","pansear",0.61,11,50,53,48,53,48,64,316,190,70,"Fire","Fire",NA,NA,"red","upright","medium","1","0","0","0",FALSE,NA,263,"5",20,138
"Flamoutan",514,"Flamoutan","simisear",0.99,28,75,98,63,98,63,101,498,75,70,"Fire","Fire",NA,NA,"red","upright","medium","1","0","0","0",TRUE,513,263,"5",20,139
"Flotajou",515,"Flotajou","panpour",0.61,13.5,50,53,48,53,48,64,316,190,70,"Water","Water",NA,NA,"blue","upright","medium","1","0","0","0",FALSE,NA,264,"5",20,140
"Flotoutan",516,"Flotoutan","simipour",0.99,29,75,98,63,98,63,101,498,75,70,"Water","Water",NA,NA,"blue","upright","medium","1","0","0","0",TRUE,515,264,"5",20,141
"Munna",517,"Munna","munna",0.61,23.3,76,25,45,67,55,24,292,190,70,"Psychic","Psychic",NA,NA,"pink","quadruped","fast","4","0","0","0",FALSE,NA,265,"5",10,72
"Mushana",518,"Mushana","musharna",1.09,60.5,116,55,85,107,95,29,487,75,70,"Psychic","Psychic",NA,NA,"pink","humanoid","fast","4","0","0","0",TRUE,517,265,"5",10,73
"Poichigeon",519,"Poichigeon","pidove",0.3,2.1,50,55,50,36,30,43,264,255,70,"Normal~Flying","Normal","Flying",NA,"gray","wings","medium-slow","4","0","0","0",FALSE,NA,266,"5",15,NA
"Colombeau",520,"Colombeau","tranquill",0.61,15,62,77,62,50,42,65,358,120,70,"Normal~Flying","Normal","Flying",NA,"gray","wings","medium-slow","4","0","0","0",FALSE,519,266,"5",15,NA
"Déflaisan",521,"Déflaisan","unfezant",1.19,29,80,105,80,65,55,93,478,45,70,"Normal~Flying","Normal","Flying",NA,"gray","wings","medium-slow","4","1","0","0",TRUE,520,266,"5",15,NA
"Zébibron",522,"Zébibron","blitzle",0.79,29.8,45,60,32,50,32,76,295,190,70,"Electric","Electric",NA,NA,"black","quadruped","medium","4","0","0","0",FALSE,NA,267,"5",20,74
"Zéblitz",523,"Zéblitz","zebstrika",1.6,79.5,75,100,63,80,63,116,497,75,70,"Electric","Electric",NA,NA,"black","quadruped","medium","4","0","0","0",TRUE,522,267,"5",20,75
"Nodulithe",524,"Nodulithe","roggenrola",0.41,18,55,75,85,25,25,15,280,255,70,"Rock","Rock",NA,NA,"blue","legs","medium-slow","4","0","0","0",FALSE,NA,268,"5",15,40
"Géolithe",525,"Géolithe","boldore",0.89,102,70,105,105,50,40,20,390,120,70,"Rock","Rock",NA,NA,"blue","tentacles","medium-slow","4","0","0","0",FALSE,524,268,"5",15,41
"Gigalithe",526,"Gigalithe","gigalith",1.7,260,85,135,130,60,70,25,505,45,70,"Rock","Rock",NA,NA,"blue","tentacles","medium-slow","4","0","0","0",TRUE,525,268,"5",15,42
"Chovsourir",527,"Chovsourir","woobat",0.41,2.1,55,45,43,55,43,72,313,190,70,"Psychic~Flying","Psychic","Flying",NA,"blue","wings","medium","4","0","0","0",FALSE,NA,269,"5",15,NA
"Rhinolove",528,"Rhinolove","swoobat",0.89,10.5,67,57,55,77,55,114,425,45,70,"Psychic~Flying","Psychic","Flying",NA,"blue","wings","medium","4","0","0","0",TRUE,527,269,"5",15,NA
"Rototaupe",529,"Rototaupe","drilbur",0.3,8.5,60,85,40,30,45,68,425,120,70,"Ground","Ground",NA,NA,"gray","upright","medium","4","0","0","0",FALSE,NA,270,"5",20,152
"Minotaupe",530,"Minotaupe","excadrill",0.71,40.4,110,135,60,50,65,88,508,60,70,"Ground~Steel","Ground","Steel",NA,"gray","humanoid","medium","4","0","0","0",TRUE,529,270,"5",20,153
"Nanméouïe",531,"Nanméouïe","audino",1.09,31,103,60,86,60,86,50,445,255,70,"Normal","Normal",NA,NA,"pink","upright","fast","4","0","0","0",TRUE,NA,271,"5",20,185
"Charpenti",532,"Charpenti","timburr",0.61,12.5,75,80,55,25,35,35,305,180,70,"Fighting","Fighting",NA,NA,"gray","humanoid","medium-slow","2","0","0","0",FALSE,NA,272,"5",20,101
"Ouvrifier",533,"Ouvrifier","gurdurr",1.19,40,85,105,85,40,50,40,405,90,70,"Fighting","Fighting",NA,NA,"gray","humanoid","medium-slow","2","0","0","0",FALSE,532,272,"5",20,102
"Bétochef",534,"Bétochef","conkeldurr",1.4,87,105,140,95,55,65,45,505,45,70,"Fighting","Fighting",NA,NA,"brown","humanoid","medium-slow","2","0","0","0",TRUE,533,272,"5",20,103
"Tritonde",535,"Tritonde","tympole",0.51,4.5,50,50,40,50,40,64,294,255,70,"Water","Water",NA,NA,"blue","fish","medium-slow","4","0","0","0",FALSE,NA,273,"5",20,NA
"Batracné",536,"Batracné","palpitoad",0.79,17,75,65,55,65,55,69,384,120,70,"Water~Ground","Water","Ground",NA,"blue","upright","medium-slow","4","0","0","0",FALSE,535,273,"5",20,NA
"Crapustule",537,"Crapustule","seismitoad",1.5,62,105,85,75,85,75,74,499,45,70,"Water~Ground","Water","Ground",NA,"blue","humanoid","medium-slow","4","0","0","0",TRUE,536,273,"5",20,NA
"Judokrak",538,"Judokrak","throh",1.3,55.5,120,100,85,30,85,45,465,45,70,"Fighting","Fighting",NA,NA,"red","humanoid","medium","0","0","0","0",TRUE,NA,274,"5",20,NA
"Karaclée",539,"Karaclée","sawk",1.4,51,75,125,75,30,75,85,465,45,70,"Fighting","Fighting",NA,NA,"blue","humanoid","medium","0","0","0","0",TRUE,NA,275,"5",20,NA
"Larveyette",540,"Larveyette","sewaddle",0.3,2.5,45,53,70,40,60,42,310,255,70,"Bug~Grass","Bug","Grass",NA,"yellow","armor","medium-slow","4","0","0","0",FALSE,NA,276,"5",15,124
"Couverdure",541,"Couverdure","swadloon",0.51,7.3,55,63,90,50,80,42,380,120,70,"Bug~Grass","Bug","Grass",NA,"green","arms","medium-slow","4","0","0","0",FALSE,540,276,"5",15,125
"Manternel",542,"Manternel","leavanny",1.19,20.5,75,103,80,70,70,92,490,45,70,"Bug~Grass","Bug","Grass",NA,"yellow","humanoid","medium-slow","4","0","0","0",TRUE,541,276,"5",15,126
"Venipatte",543,"Venipatte","venipede",0.41,5.3,30,45,59,30,39,57,260,255,70,"Bug~Poison","Bug","Poison",NA,"red","armor","medium-slow","4","0","0","0",FALSE,NA,277,"5",15,31
